"year","month","noa1","ts","time","noa2"
1821,7,-2.624,1821.54,"1821-7-15 00:00:00",-3
1821,8,-0.143,1821.62,"1821-8-15 00:00:00",0
1822,10,-2.003,1822.79,"1822-10-15 00:00:00",-2
1822,11,-0.05,1822.88,"1822-11-15 00:00:00",0
1822,12,-0.734,1822.96,"1822-12-15 00:00:00",-1
1822,3,2.988,1822.21,"1822-3-15 00:00:00",3
1822,4,-3.187,1822.29,"1822-4-15 00:00:00",-3
1822,5,0.588,1822.38,"1822-5-15 00:00:00",1
1822,6,-0.862,1822.46,"1822-6-15 00:00:00",-1
1822,7,-4.047,1822.54,"1822-7-15 00:00:00",-4
1822,8,-0.19,1822.62,"1822-8-15 00:00:00",0
1822,9,-1.092,1822.71,"1822-9-15 00:00:00",-1
1823,10,-1.391,1823.79,"1823-10-15 00:00:00",-1
1823,11,-0.757,1823.88,"1823-11-15 00:00:00",-1
1823,1,-3.387,1823.04,"1823-1-15 00:00:00",-3
1823,12,-0.202,1823.96,"1823-12-15 00:00:00",0
1823,5,4.651,1823.38,"1823-5-15 00:00:00",4
1823,6,-0.835,1823.46,"1823-6-15 00:00:00",-1
1823,7,0.58,1823.54,"1823-7-15 00:00:00",1
1823,8,2.903,1823.62,"1823-8-15 00:00:00",3
1823,9,0.669,1823.71,"1823-9-15 00:00:00",1
1824,11,-0.699,1824.88,"1824-11-15 00:00:00",-1
1824,1,-0.162,1824.04,"1824-1-15 00:00:00",0
1824,12,-0.006,1824.96,"1824-12-15 00:00:00",0
1824,2,0.25,1824.12,"1824-2-15 00:00:00",0
1824,3,-1.438,1824.21,"1824-3-15 00:00:00",-1
1824,4,1.462,1824.29,"1824-4-15 00:00:00",1
1824,5,1.342,1824.38,"1824-5-15 00:00:00",1
1824,6,-3.945,1824.46,"1824-6-15 00:00:00",-4
1824,7,-2.747,1824.54,"1824-7-15 00:00:00",-3
1824,8,-0.075,1824.62,"1824-8-15 00:00:00",0
1824,9,0.193,1824.71,"1824-9-15 00:00:00",0
1825,10,1.981,1825.79,"1825-10-15 00:00:00",2
1825,11,1.059,1825.88,"1825-11-15 00:00:00",1
1825,1,-0.226,1825.04,"1825-1-15 00:00:00",0
1825,12,-1.305,1825.96,"1825-12-15 00:00:00",-1
1825,2,0.211,1825.12,"1825-2-15 00:00:00",0
1825,3,0.327,1825.21,"1825-3-15 00:00:00",0
1825,4,-0.276,1825.29,"1825-4-15 00:00:00",0
1825,5,0.131,1825.38,"1825-5-15 00:00:00",0
1825,6,0.41,1825.46,"1825-6-15 00:00:00",0
1825,7,-0.919,1825.54,"1825-7-15 00:00:00",-1
1825,8,1.43,1825.62,"1825-8-15 00:00:00",1
1825,9,-0.947,1825.71,"1825-9-15 00:00:00",-1
1826,10,0.183,1826.79,"1826-10-15 00:00:00",0
1826,11,-2.411,1826.88,"1826-11-15 00:00:00",-2
1826,1,-3.049,1826.04,"1826-1-15 00:00:00",-3
1826,12,-0.591,1826.96,"1826-12-15 00:00:00",-1
1826,2,4.875,1826.12,"1826-2-15 00:00:00",4
1826,3,-0.975,1826.21,"1826-3-15 00:00:00",-1
1826,4,1.782,1826.29,"1826-4-15 00:00:00",2
1826,5,-1.204,1826.38,"1826-5-15 00:00:00",-1
1826,6,0.835,1826.46,"1826-6-15 00:00:00",1
1826,7,1.887,1826.54,"1826-7-15 00:00:00",2
1826,8,2.717,1826.62,"1826-8-15 00:00:00",3
1826,9,-0.755,1826.71,"1826-9-15 00:00:00",-1
1827,10,-3.016,1827.79,"1827-10-15 00:00:00",-3
1827,11,-1.417,1827.88,"1827-11-15 00:00:00",-1
1827,1,-0.447,1827.04,"1827-1-15 00:00:00",0
1827,12,2.702,1827.96,"1827-12-15 00:00:00",3
1827,2,-3.717,1827.12,"1827-2-15 00:00:00",-4
1827,3,1.834,1827.21,"1827-3-15 00:00:00",2
1827,4,-0.827,1827.29,"1827-4-15 00:00:00",-1
1827,5,1.196,1827.38,"1827-5-15 00:00:00",1
1827,6,-0.075,1827.46,"1827-6-15 00:00:00",0
1827,7,2.022,1827.54,"1827-7-15 00:00:00",2
1827,8,-3.558,1827.62,"1827-8-15 00:00:00",-4
1827,9,-0.075,1827.71,"1827-9-15 00:00:00",0
1828,10,0.101,1828.79,"1828-10-15 00:00:00",0
1828,11,-2.571,1828.88,"1828-11-15 00:00:00",-3
1828,1,1.268,1828.04,"1828-1-15 00:00:00",1
1828,12,3.04,1828.96,"1828-12-15 00:00:00",3
1828,2,0.365,1828.12,"1828-2-15 00:00:00",0
1828,3,-0.183,1828.21,"1828-3-15 00:00:00",0
1828,4,0.042,1828.29,"1828-4-15 00:00:00",0
1828,5,-1.589,1828.38,"1828-5-15 00:00:00",-2
1828,6,-1.33,1828.46,"1828-6-15 00:00:00",-1
1828,7,-4.401,1828.54,"1828-7-15 00:00:00",-4
1828,8,-2.543,1828.62,"1828-8-15 00:00:00",-3
1828,9,-2.781,1828.71,"1828-9-15 00:00:00",-3
1829,10,0.709,1829.79,"1829-10-15 00:00:00",1
1829,11,-0.332,1829.88,"1829-11-15 00:00:00",0
1829,1,-2.481,1829.04,"1829-1-15 00:00:00",-2
1829,12,-0.425,1829.96,"1829-12-15 00:00:00",0
1829,2,0.319,1829.12,"1829-2-15 00:00:00",0
1829,3,-2.536,1829.21,"1829-3-15 00:00:00",-3
1829,4,0.123,1829.29,"1829-4-15 00:00:00",0
1829,5,1.799,1829.38,"1829-5-15 00:00:00",2
1829,6,-0.096,1829.46,"1829-6-15 00:00:00",0
1829,7,0.333,1829.54,"1829-7-15 00:00:00",0
1829,8,0.773,1829.62,"1829-8-15 00:00:00",1
1829,9,0.777,1829.71,"1829-9-15 00:00:00",1
1830,10,2.04,1830.79,"1830-10-15 00:00:00",2
1830,11,2.192,1830.88,"1830-11-15 00:00:00",2
1830,1,-2.329,1830.04,"1830-1-15 00:00:00",-2
1830,12,-3.13,1830.96,"1830-12-15 00:00:00",-3
1830,2,1.197,1830.12,"1830-2-15 00:00:00",1
1830,3,3.58,1830.21,"1830-3-15 00:00:00",4
1830,4,3.08,1830.29,"1830-4-15 00:00:00",3
1830,5,-0.046,1830.38,"1830-5-15 00:00:00",0
1830,6,-0.849,1830.46,"1830-6-15 00:00:00",-1
1830,7,3.191,1830.54,"1830-7-15 00:00:00",3
1830,8,-0.353,1830.62,"1830-8-15 00:00:00",0
1830,9,2.039,1830.71,"1830-9-15 00:00:00",2
1831,10,0.847,1831.79,"1831-10-15 00:00:00",1
1831,11,0.256,1831.88,"1831-11-15 00:00:00",0
1831,1,-2.908,1831.04,"1831-1-15 00:00:00",-3
1831,12,0.365,1831.96,"1831-12-15 00:00:00",0
1831,2,1.401,1831.12,"1831-2-15 00:00:00",1
1831,3,1.484,1831.21,"1831-3-15 00:00:00",1
1831,4,-3.148,1831.29,"1831-4-15 00:00:00",-3
1831,5,-2.475,1831.38,"1831-5-15 00:00:00",-2
1831,6,-1.357,1831.46,"1831-6-15 00:00:00",-1
1831,7,2.71,1831.54,"1831-7-15 00:00:00",3
1831,8,-3.045,1831.62,"1831-8-15 00:00:00",-3
1831,9,-1.531,1831.71,"1831-9-15 00:00:00",-2
1832,10,2.252,1832.79,"1832-10-15 00:00:00",2
1832,11,0.618,1832.88,"1832-11-15 00:00:00",1
1832,1,-0.038,1832.04,"1832-1-15 00:00:00",0
1832,12,3.322,1832.96,"1832-12-15 00:00:00",3
1832,2,0.828,1832.12,"1832-2-15 00:00:00",1
1832,3,2.118,1832.21,"1832-3-15 00:00:00",2
1832,4,-1.513,1832.29,"1832-4-15 00:00:00",-2
1832,5,-1.964,1832.38,"1832-5-15 00:00:00",-2
1832,6,-3.618,1832.46,"1832-6-15 00:00:00",-4
1832,7,-2.568,1832.54,"1832-7-15 00:00:00",-3
1832,8,0.921,1832.62,"1832-8-15 00:00:00",1
1832,9,1.452,1832.71,"1832-9-15 00:00:00",1
1833,10,-1.745,1833.79,"1833-10-15 00:00:00",-2
1833,11,1.404,1833.88,"1833-11-15 00:00:00",1
1833,1,-0.357,1833.04,"1833-1-15 00:00:00",0
1833,12,4.174,1833.96,"1833-12-15 00:00:00",4
1833,2,2.522,1833.12,"1833-2-15 00:00:00",3
1833,3,-2.887,1833.21,"1833-3-15 00:00:00",-3
1833,4,2.016,1833.29,"1833-4-15 00:00:00",2
1833,5,0.692,1833.38,"1833-5-15 00:00:00",1
1833,6,-1.523,1833.46,"1833-6-15 00:00:00",-2
1833,7,0.127,1833.54,"1833-7-15 00:00:00",0
1833,8,-1.738,1833.62,"1833-8-15 00:00:00",-2
